text,proba
Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,0.0020548033
network operator. The service is free. For T & C's visit 80488.biz,0.010064176
"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",0.01362247
Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,0.016804859
PRIVATE! Your 2003 Account Statement for 078,0.032203507
Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,0.044342797
Your credits have been topped up for URL Your renewal Pin is tgxxrz,0.08857513
"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message",0.16380157
TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,0.17612575
Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,0.4010583
